shipment_id,goods_shipped,goods_shipped_query,hs_code_6_digit,predicted_hs_code,rerank_score,distance,match_rank,top_hs_codes,expected_in_index,is_semantic_outlier,semantic_outlier_reason
fb9492675c3f2fb2dbf641d153b97e53bdcc8e0aff656b7214afe276083d76b7,"DO:BUNI-365-25, PEDIDO ALT-10375, DECLARACION 7 DE 7, REGISTRO DE IMPORTACION NO: REG-50119231-20250704N DEL 2025-07-04",do buni pedido alt declaracion registro importacion no reg n del,71220,80251.0,-11.504874229431152,0.7711245,,"[""080251"", ""080261"", ""090520"", ""080121"", ""090510""]",True,True,hs_code_mismatch
0db6c431192df5e4d5471c2affc4d7050f70f4cb5518cf369562823d503feec3,"ОВОЧІ СУШЕНІ, ЦІЛІ, НАРІЗАНІ ШМАТКАМИ, СКИБКАМИ, ПОДРІБНЕНІ ЧИ У ВИГЛЯДІ ПОРОШКУ, АЛЕ БЕЗ БУДЬ-ЯКОЇ ПОДАЛЬШОЇ ОБРОБКИ: - ЦИБУЛЯ РІПЧАСТА,DRIED VEGETABLES ,  WHOLE ,  CUT ,  SLICED ,  BROKEN OR IN POWDER ,  BUT NOT FURTHER PREPARED: - ONIONS",овочі сушені цілі нарізані шматками скибками подрібнені чи у вигляді порошку але,71220,71290.0,-4.000067710876465,0.7388478,,"[""071290"", ""081340"", ""071233"", ""081210"", ""071232""]",True,True,hs_code_mismatch
661e08bbd8a219530169aca1c8a191a6a24b461cb5567a82c5d12a63194a8ef2,"DO,00026397 Pedido 5068538 (I) (C) D,I, 34069446 Codigo, OEA No, OE0386   FACTURA No, 90096586 DE FECHA  16-MAY-2025  ,",do pedido i c d i codigo oea no oe no fecha,71220,110813.0,-11.299686431884766,0.7006805,,"[""110813"", ""080252"", ""080440"", ""100840"", ""090831""]",True,True,hs_code_mismatch
5315d97759524c96b9363324ffb43bb7085248bc35e4cfdcac465dd440d69c2f,"DO 21041189 ,Pedido 26182 EMB 4799 ,Formato 1 de 7 FACTURA(S)...M106 12/02/2021PARCIAL #4 17.28 KG / 216 UNDS /REF= 9",do pedido emb formato s m parcial unds,71220,80810.0,-11.49613094329834,0.7676819,,"[""080810"", ""071331"", ""100410"", ""081310"", ""071334""]",True,True,hs_code_mismatch
18fb1028c0e168392d2e9397c7fbd4a4de07ffd86a5eafce41cd25d317735696,"CEBOLLA PICADA DESHIDRATADA BADIA 12/5.5 OZ, REG. SANITARIO. M5300722E-NAPYMI, F. INICIO  20/12/2022, F. VENCIMIENTO 20/12/2027, PARA CONSUMO HUMANO, PAQUETES CONTENIENDO 12/5.5 OZ CADA UNO, CEBOLLA PICADA DESHIDRATADA BADIA, CERTIFICADO DIGESA N° 22969-2022",cebolla picada deshidratada badia oz reg sanitario m e napymi f inicio,71220,80111.0,-11.341252326965332,0.75794953,,"[""080111"", ""100840"", ""120510"", ""071440"", ""080940""]",True,True,hs_code_mismatch
a7a5cba8722488ef5d2fdb06647cc5ba3ce942b1084fb38c0dc90ae374455a15,"ОВОЧІ СУШЕНІ, ЦІЛІ, НАРІЗАНІ ШМАТКАМИ, СКИБКАМИ, ПОДРІБНЕНІ ЧИ У ВИГЛЯДІ ПОРОШКУ, АЛЕ БЕЗ БУДЬ-ЯКОЇ ПОДАЛЬШОЇ ОБРОБКИ: - ЦИБУЛЯ РІПЧАСТА,DRIED VEGETABLES ,  WHOLE ,  CUT ,  SLICED ,  BROKEN OR IN POWDER ,  BUT NOT FURTHER PREPARED: - ONIONS",овочі сушені цілі нарізані шматками скибками подрібнені чи у вигляді порошку але,71220,71290.0,-4.000067710876465,0.7388478,,"[""071290"", ""081340"", ""071233"", ""081210"", ""071232""]",True,True,hs_code_mismatch
584f0904b5999db9b5fcc1753c7696846f7613b9e28aed2489d075c19d7fb81a,"DO,00029851 Pedido (I) (C) A3442839 - A3448095 - A3448096 - A3448097 -A3448098 D,I, 25438327 Códido, UAP No, 0334   FACT",do pedido i c a a a a a d i códido,71220,80440.0,-11.431894302368164,0.74851024,,"[""080440"", ""080840"", ""100840"", ""071159"", ""090831""]",True,True,hs_code_mismatch
198b11c56661ec527c7787c54a96132e80fdb946f335847108b9eea4891aefd6,DO 02230419. Operador economico: OE0266. Declaracion(1-11). PEDIDO: 51614119. EXENTO DE IVA SEGUN EL ARTICULO 424 DE EST,do operador economico oe declaracion pedido exento iva segun articulo est,71220,100840.0,-11.469205856323242,0.78508496,,"[""100840"", ""080252"", ""080251"", ""080122"", ""080121""]",True,True,hs_code_mismatch
f917d74da8bfbb2e7ca368515b5420f8aed0d3fe700f0397372b3bee71b51496,CEBOLLA BLANCA EN POLVO,cebolla blanca polvo,71220,71440.0,-11.34142780303955,0.7215797,,"[""071440"", ""071450"", ""071410"", ""100840"", ""080280""]",True,True,hs_code_mismatch
a6b8786fc54dde0874e2b61ec86ceaa3e1e7c8bd6243916297284f51a4019510,CEBOLLA DESHIDRATADA EN TROZOS,cebolla deshidratada trozos,71220,71233.0,-10.60911750793457,0.6219435,,"[""071233"", ""080111"", ""071440"", ""071430"", ""081310""]",True,True,hs_code_mismatch
3013ece4d52d33fd6f5995dc100ba795507d61e2f3288f7f5909f559076591ed,CEBOLLA EN POLVO,cebolla polvo,71220,80270.0,-11.270511627197266,0.7302345,,"[""080270"", ""071440"", ""070410"", ""071410"", ""100840""]",True,True,hs_code_mismatch
1b5d4fa4304238a0efcf2a42018dcd83de3fa569731e21e0278f26e3aef6e476,CEBOLLA BLANCA POLVO,cebolla blanca polvo,71220,71440.0,-11.34142780303955,0.7215797,,"[""071440"", ""071450"", ""071410"", ""100840"", ""080280""]",True,True,hs_code_mismatch
445002802e17a0176abb3f2bbf2496b0862cac3a9b394cd1e1ce4c22401a6176,CEBOLLA BLANCA EN POLVO,cebolla blanca polvo,71220,71440.0,-11.34142780303955,0.7215797,,"[""071440"", ""071450"", ""071410"", ""100840"", ""080280""]",True,True,hs_code_mismatch
d2c6e65ee06e567c619fc8b66f62a1a6efa80ccd96c82bfbcc9cf4cd0164c3a6,CEBOLLA BLANCA EN POLVO,cebolla blanca polvo,71220,71440.0,-11.34142780303955,0.7215797,,"[""071440"", ""071450"", ""071410"", ""100840"", ""080280""]",True,True,hs_code_mismatch
94159e99de491280faebe59aeff4e52c3305950996d4410c82faa8fb89c5675d,CEBOLLA PULVERIZADA,cebolla pulverizada,71220,70410.0,-11.321868896484377,0.6298429,,"[""070410"", ""071410"", ""121293"", ""080940"", ""080810""]",True,True,hs_code_mismatch
833d869991c88082094bfc330437eb126b0a4254589eabb56abacb7dc90e60cf,CEBOLLA EN POLVO,cebolla polvo,71220,80270.0,-11.270511627197266,0.7302345,,"[""080270"", ""071440"", ""070410"", ""071410"", ""100840""]",True,True,hs_code_mismatch
af5253a4839f8938beb8432c1dd367485f00b2c8b7bfb2a3a8ea74a1a1fb0b4f,CEBOLLAS.,cebollas,71220,70940.0,-8.294938087463379,0.7360029,,"[""070940"", ""070410"", ""071233"", ""071440"", ""071450""]",True,True,hs_code_mismatch
431fbe6965b5fd16a7f0c62c76cbfe6187d984f5b14df2237c17a5a7c012788c,RAJAS DE CEBOLLA DESHIDRATADA,rajas cebolla deshidratada,71220,80111.0,-11.007735252380373,0.6075025,,"[""080111"", ""080119"", ""070690"", ""081060"", ""120600""]",True,True,hs_code_mismatch
b2f2d007308fd353d7fc96edba148f298ba9874a5d8644d522d0a0319978df02,CEBOLLA BLANCA DESHIDRATADA PEQUEÑA EN CROQUETAS,cebolla blanca deshidratada pequeña croquetas,71220,71440.0,-11.305830001831056,0.7195716,,"[""071440"", ""080241"", ""071410"", ""081010"", ""080810""]",True,True,hs_code_mismatch
